l (nm),chl a70,chl a90,chl b70,chl b90
350,26132,25552,29529,28301
350.4,26251,25804,29574,28114
350.8,26666,26083,29350,27946
351.2,26703,26227,29084,27660
351.6,26834,26473,28991,27632
352,27002,26609,28659,27487
352.4,27107,26811,28396,27146
352.8,27447,27039,28340,27136
353.2,27643,27299,28144,26972
353.6,27699,27523,28001,26872
354,28060,27809,28001,26802
354.4,28267,28136,27781,26720
354.8,28453,28276,27738,26697
355.2,28861,28578,27709,26610
355.6,29111,28853,27531,26598
356,29433,29186,27556,26637
356.4,29590,29374,27428,26430
356.8,29830,29703,27327,26465
357.2,30150,29988,27284,26382
357.6,30357,30216,27208,26402
358,30603,30417,27138,26294
358.4,30775,30724,26965,26247
358.8,31015,30900,26894,26084
359.2,31338,31263,26865,26144
359.6,31643,31514,26823,26074
360,31884,31796,26843,26051
360.4,32155,32058,26755,25936
360.8,32399,32395,26580,25829
361.2,32772,32664,26574,25775
361.6,33067,32975,26478,25804
362,33303,33239,26407,25631
362.4,33611,33575,26320,25498
362.8,33975,33924,26260,25410
363.2,34212,34182,26126,25286
363.6,34669,34537,25982,25137
364,35013,34876,25871,25060
364.4,35289,35190,25747,24969
364.8,35691,35495,25642,24725
365.2,35980,35864,25488,24594
365.6,36315,36198,25323,24392
366,36714,36574,25161,24269
366.4,37069,36919,24988,24012
366.8,37432,37264,24834,23877
367.2,37764,37608,24629,23714
367.6,38213,38022,24484,23532
368,38563,38378,24336,23403
368.4,38965,38766,24170,23245
368.8,39327,39130,24033,23091
369.2,39716,39551,23870,22885
369.6,40144,39880,23752,22777
370,40512,40224,23490,22521
370.4,40924,40614,23306,22393
370.8,41312,41008,23191,22303
371.2,41713,41382,23045,22132
371.6,42063,41719,22902,22055
372,42475,42126,22779,21986
372.4,42774,42446,22663,21857
372.8,43117,42730,22571,21779
373.2,43468,43059,22467,21669
373.6,43746,43364,22381,21610
374,44067,43629,22309,21549
374.4,44353,43877,22236,21436
374.8,44595,44118,22096,21384
375.2,44855,44338,22090,21375
375.6,45098,44547,21986,21267
376,45202,44688,21853,21159
376.4,45418,44870,21848,21150
376.8,45574,45000,21731,21050
377.2,45678,45098,21672,21028
377.6,45761,45219,21566,20941
378,45837,45280,21491,20868
378.4,45900,45379,21392,20757
378.8,46008,45432,21294,20682
379.2,46006,45522,21204,20554
379.6,46017,45526,21134,20453
380,46062,45593,20982,20328
380.4,46095,45601,20871,20224
380.8,46050,45625,20743,20022
381.2,46057,45616,20590,19835
381.6,46045,45649,20423,19731
382,45998,45630,20244,19510
382.4,45983,45613,20053,19324
382.8,45976,45629,19826,19076
383.2,45976,45641,19678,18841
383.6,45950,45623,19434,18561
384,45907,45622,19172,18273
384.4,45817,45550,18862,17973
384.8,45825,45531,18594,17663
385.2,45755,45496,18298,17332
385.6,45739,45442,17997,17034
386,45738,45401,17730,16718
